Sample ID,Mean Pore Area,Max Pore Area,Mean Pore Diameter,Max Pore Diameter
88,390.1166667,1632.57,15.76444444,47.69
88,297.14,1588.17,18.686875,47.23
88,89.18037037,484.99,8.628148148,28.93
88,200.6971429,843.61,14.40333333,36.68
88,286.0408333,2944.08,13.89125,65.81
88,240.3465714,2605.96,14.69,61.99
88,300.41375,2220.02,14.35958333,58.03
88,104.0952174,847.02,9.160869565,35.88
88,120.3941667,969.98,10.21666667,37.42
88,195.9306667,2216.6,12.46566667,67.27
88,365.1869231,1998.01,18.21153846,66.12
88,309.6633333,3067.04,14.20791667,70.25
88,282.625,2445.43,14.16375,75.05
88,228.4726316,1489.12,13.56,50.03
88,171.9586957,2202.94,11.74130435,58.73
88,167.9241667,1198.81,11.8,49.66
88,143.8880645,1905.8,9.348064516,49.93
88,189.5566667,744.56,13.61083333,35.31
